	p-value	FDR
ANDR.1.S.C_besthit	0.9840612233977047	1.0
MCR.1.SM.D_besthit	0.9999997146814847	1.0
SOX10.0.PSM.A_besthit	0.9950660188147874	1.0
SOX8.0.PSM.A_besthit	0.9999992012365475	1.0
SOX3.0.PM.A_besthit	0.9999999999659708	1.0
SOX4.0.PSM.A_besthit	0.999999999877427	1.0
SOX15.0.P.B_besthit	0.9999999999806966	1.0
SOX10.1.PSM.A_besthit	0.9999967272523632	1.0
SOX12.0.SM.D_besthit	0.9665124435948654	1.0
SOX8.1.PS.A_besthit	0.9999999381708192	1.0
SOX5.0.P.B_besthit	0.999996794639972	1.0
SOX2.0.P.B_besthit	0.999999686878673	1.0
SOX17.0.PS.A_besthit	0.9994989678230891	1.0
SOX13.0.P.B_besthit	0.9999999999999952	1.0
SOX6.0.P.B_besthit	0.9999999999999998	1.0
PROX1.0.SM.D_besthit	0.005446414127625029	0.10557664308934672
DPF1.0.SM.D_besthit	0.9999999999303639	1.0
ZBT45.0.SM.D_besthit	0.9999999999998606	1.0
GATA3.1.SM.B_besthit	0.9999999998725597	1.0
GATA2.1.P.B_besthit	0.9999999136022568	1.0
GATA2.0.PSM.A_besthit	1.0	1.0
GATA6.0.PSM.A_besthit	1.0	1.0
GATA3.0.PS.A_besthit	0.9999999999999882	1.0
TRPS1.0.P.B_besthit	0.9999998596240043	1.0
TAL1.0.P.B_besthit	0.9999966573499278	1.0
HXC9.2.M.C_besthit	1.0	1.0
HXA13.1.SM.B_besthit	0.99999999999999	1.0
HXB13.1.SM.B_besthit	0.9999952913374218	1.0
HXA11.1.SM.B_besthit	1.0	1.0
HXC10.2.SM.B_besthit	1.0	1.0
HXD9.0.SM.D_besthit	0.9999999445543468	1.0
HXA9.1.SM.B_besthit	0.9999999999998486	1.0
HXC10.1.S.B_besthit	0.9996745479634064	1.0
HXC9.1.S.C_besthit	0.999999999634064	1.0
CREB5.0.P.B_besthit	0.45847091278231517	1.0
HLF.1.SM.B_besthit	0.999778790546003	1.0
DBP.0.SM.D_besthit	0.9999999999990379	1.0
TEF.0.SM.D_besthit	0.9998131129671131	1.0
ATF4.0.P.B_besthit	0.9999999999998107	1.0
CEBPG.2.P.B_besthit	0.999999999999649	1.0
HLF.0.P.B_besthit	0.9999989751421317	1.0
NFIL3.0.P.B_besthit	0.9999982227331581	1.0
CEBPG.0.P.B_besthit	1.0	1.0
CEBPD.0.P.B_besthit	0.9999929486773584	1.0
CEBPA.0.P.B_besthit	0.999999995400665	1.0
CEBPB.0.P.B_besthit	0.9999999992189101	1.0
NKX31.0.PSM.A_besthit	0.9851065077258617	1.0
ZNF90.0.P.C_besthit	0.9999911954700231	1.0
ZNF32.0.SM.D_besthit	0.7467163894748421	1.0
SIX4.0.P.B_besthit	0.9652647404184045	1.0
SIX1.0.P.B_besthit	0.4040676789732248	1.0
SIX2.0.P.B_besthit	0.907740684722454	1.0
FOXJ3.0.SM.D_besthit	0.015399741716204842	0.24254593203022626
FOXO4.0.SM.D_besthit	0.9999406762073182	1.0
FOXO6.0.S.D_besthit	0.9911567057039934	1.0
FOXO1.0.PS.A_besthit	0.9999999999989482	1.0
FOXP1.0.PS.A_besthit	0.9999999999915289	1.0
FOXP2.0.P.B_besthit	0.9999999917841015	1.0
FOXK2.0.P.B_besthit	1.0	1.0
FOXK1.0.PS.A_besthit	0.9999999999999999	1.0
FOXO3.0.PS.A_besthit	0.9999986348281502	1.0
HOMEZ.0.S.D_besthit	0.8079037169539942	1.0
CUX1.0.PM.A_besthit	0.9998830614108327	1.0
CUX1.1.S.B_besthit	0.9999952461565592	1.0
P53.1.S.C_besthit	0.9808312769792266	1.0
IRX3.1.S.D_besthit	0.9999999999999928	1.0
IRX1.0.S.D_besthit	0.9999999902441957	1.0
IRX5.1.SM.D_besthit	1.0	1.0
TEAD1.2.S.C_besthit	0.8936327597899257	1.0
TEAD1.1.P.C_besthit	0.9999999999999559	1.0
TEAD3.1.S.B_besthit	0.999947252018171	1.0
TF7L1.0.PM.A_besthit	0.9999999999999523	1.0
TF7L2.0.P.B_besthit	0.9999999999995846	1.0
LEF1.0.PSM.A_besthit	0.999999999999993	1.0
TCF7.0.PSM.A_besthit	1.0	1.0
TWST1.0.P.B_besthit	0.0029129125676032944	0.06117116391966918
ZKSC8.0.P.B_besthit	0.47869103358919085	1.0
ZN490.0.P.C_besthit	0.9795517745895197	1.0
ZN75D.1.P.B_besthit	0.9942692461228904	1.0
PRDM4.0.PSM.A_besthit	0.5781472877130542	1.0
ZN766.1.P.B_besthit	0.9999999281535954	1.0
HMBX1.0.PSM.A_besthit	0.9990895152296188	1.0
ZN251.0.P.C_besthit	0.4174607122393236	1.0
BATF3.1.P.B_besthit	0.9995842319274993	1.0
BATF.0.P.B_besthit	0.9998433799529659	1.0
BATF3.0.P.B_besthit	0.9946290453009264	1.0
